,BRK.B,JPM,BAC,WFC,MS,C,GS,BLK,SCHW,SPGI,AXP,PNC,MMC,TFC,CB,XLF,SPY
2019-12-19,225.21,129.288023491,33.5536062636,50.8839626363,48.2509939176,72.8325493551,221.817427348,482.480785916,46.8356753173,268.102937845,121.236150089,149.058028729,108.644007544,52.0912293606,148.544418417,29.4702918371,29.4702918371
2019-12-20,226.31,129.184480116,33.5632067232,50.5993236509,48.0897145435,73.1212717374,220.843105344,479.839502798,46.7579397566,267.296110155,122.149087533,149.328992362,108.750511785,52.2396902922,149.544329065,29.5050170264,29.5050170264
2019-12-23,225.48,129.146827979,33.7648163745,51.0547460276,48.1181756095,73.3541123684,220.997453385,479.906735459,47.3312395167,267.010768655,120.905938674,149.058028729,107.743562602,52.14690221,148.255982653,29.4376978872,29.4376978872
2019-12-24,225.47,129.504523275,33.8128186725,51.0642339938,48.0897145435,73.1957807393,221.788487091,479.887526127,47.3312395167,268.122616569,121.148741185,149.889606775,108.024346509,52.1097869771,148.006004991,29.5050170264,29.5050170264
2019-12-26,226.45,130.878826255,34.1008324602,51.3773368778,48.4881694677,74.3506702688,223.042564918,483.345205845,47.1952022855,269.165588949,121.799451916,150.571687643,108.285766008,52.6294002375,148.784781553,29.6685063646,29.6685063646
2019-12-27,226.14,130.972956596,33.9376246471,51.1591136556,48.4691954237,74.201652265,222.51199353,483.12429853,46.9717125485,269.883862381,121.585785706,150.254006143,108.469727878,52.4067088402,149.813535778,29.5915702054,29.5915702054
2019-12-30,225.76,130.492891857,33.7456154554,50.8554987378,48.3458641377,74.0526342612,221.682372813,481.040086033,46.466431404,267.571612293,120.721408765,149.515863833,108.276083804,52.3510359909,149.323194979,29.5050170264,29.5050170264
2019-12-31,226.5,131.217695483,33.8128186725,51.0452580614,48.4976564897,74.4065520202,221.807780596,482.826553887,46.2137908318,268.663781484,120.905938674,149.151464465,107.86943125,52.2582479086,149.659703371,29.6011872253,29.6011872253
2020-01-02,228.39,132.808498248,34.2160379752,50.9978182305,49.3704625142,75.654577802,226.04270495,488.858284061,46.8648261526,273.376835918,122.644404657,149.842888907,108.489092286,52.5830061964,150.005826287,29.8896978221,29.8896978221
2020-01-03,226.18,131.067086937,33.5056039656,50.6847153465,48.5735526658,74.2295931407,223.399494761,483.662159819,45.679358852,272.461775245,121.426244102,148.403978581,108.324494823,52.14690221,149.775077676,29.5723361657,29.5723361657
2020-01-06,226.99,130.962869939,33.4576016677,50.3811004287,48.4027862697,73.9967525097,225.685775107,484.075160452,46.0000180399,274.557559367,120.899998742,148.104984228,108.353541434,51.7107982235,151.005736936,29.5531021259,29.5531021259
2020-01-07,225.92,128.736415882,33.2367910971,49.9636299166,48.3079160496,73.3541123684,227.171374995,487.167862866,46.2720925023,276.46639561,120.266555254,146.937037535,108.024346509,51.4881068262,147.98677594,29.360761728,29.360761728
2020-01-08,225.99,129.740688776,33.5728071828,50.1154373756,48.92457248,73.9129298826,229.361187816,487.052606875,46.5538839098,280.431658526,122.342300839,148.460040023,107.704833787,51.5994525249,146.977250766,29.5531021259,29.5531021259
2020-01-09,228.65,130.214402405,33.6304099403,50.0300456799,49.3894365582,74.5835108997,234.030216033,492.815406405,46.7482228115,284.928246995,124.554480407,150.254006143,108.469727878,52.1283445935,148.015619516,29.7358255038,29.7358255038
2020-01-10,226.62,128.916427061,33.3519966122,49.8118224577,49.5317418883,73.810480005,233.55752516,491.931777143,46.4469975138,284.298527822,124.037980331,148.161045669,108.150215157,51.9242108126,145.169719979,29.5146340463,29.5146340463
2020-01-13,228.45,129.987019863,33.6592113191,49.4417917766,50.0725021426,75.1143875382,236.54801844,502.429676952,46.6607703057,289.513389722,125.265886171,148.973936568,108.440681267,52.1654598264,145.08318925,29.716591464,29.716591464
2020-01-14,227.17,131.502903476,33.9088232684,46.7756732793,50.1483983186,76.2879043181,236.982122303,497.829041995,46.3595450081,285.508769358,125.519263566,149.385053803,107.966253287,52.2953631415,144.948585893,29.6588893447,29.6588893447
2020-01-15,228.35,129.532254779,33.2847933951,45.8458525935,50.2242944947,75.6638914272,236.54801844,509.297013058,45.7862452479,289.651140792,126.513282579,143.965781149,108.644007544,51.1540697302,145.458155743,29.4954000065,29.4954000065
2020-01-16,229.73,130.034391226,33.332795693,46.7282334484,53.5447521964,75.4403644215,240.898703825,513.849624686,47.6130309242,293.399937742,127.224688343,143.676130369,109.234621969,51.8314227304,146.775345731,29.7550595436,29.7550595436
2020-01-17,230.2,130.934447121,33.3231952334,46.6618176852,54.559863551,75.5521279244,240.647888259,514.080136667,46.9717125485,292.022427052,128.169980933,144.372764732,110.522355059,52.230411484,147.765641854,29.8416127226,29.8416127226
2020-01-21,228.63,129.64594605,32.8911745519,46.4341064968,53.0514270522,74.4158656454,237.020709313,508.221290479,47.0785989445,291.441904689,127.205197774,142.762974515,110.338393189,52.2211326758,146.852261935,29.5915702054,29.5915702054
2020-01-22,229.54,129.494357688,32.9871791478,46.0735637818,52.9945049201,74.6021381502,238.323020903,515.63609254,47.5450123086,292.642306863,128.14074508,143.337227165,109.99951606,52.2768055251,147.900245211,29.6781233845,29.6781233845
2020-01-23,229.38,129.361717872,32.7567681177,45.7509729316,52.681433194,74.322729393,236.904948283,520.515262808,47.0494481092,292.416001535,128.023801667,143.76085617,110.599812689,52.2953631415,146.22731778,29.6011872253,29.6011872253
2020-01-24,226.86,126.149939466,32.1999414615,45.1342551298,51.7517050375,73.0374491103,233.374236862,515.616883208,45.8153960832,290.093912085,131.668538047,141.567399324,110.251253356,51.478828018,146.150401576,29.2261234496,29.2261234496
2020-01-27,222.45,125.088820937,31.5375097499,44.6883207192,50.3855738687,71.4448191947,229.727764411,503.102003564,44.4647407162,288.421220532,127.312395903,139.825813417,109.408901636,50.7365233602,144.583233926,28.7741235147,28.7741235147
2020-01-28,224.03,127.362646357,31.9119276739,44.9444958061,51.2488928712,71.9384413323,234.010922528,509.018477747,44.9894557508,292.504555794,129.076292386,140.917834851,111.921433492,50.9963299904,145.140876403,29.1107192109,29.1107192109
2020-01-29,224.5,127.173160905,31.6911171033,44.8496161443,50.926334123,71.2306058143,231.63782141,515.280719902,44.6493626728,292.53407388,128.325905484,139.882297284,112.699070688,49.9756610859,145.073574724,29.0626341114,29.0626341114
2020-01-30,227.88,128.745890154,32.142338704,45.45684598,51.3911982013,72.1154002118,235.506169168,518.354212985,45.8542638636,295.043111209,129.826679288,142.113410041,111.396528384,48.3704272635,148.1982955,29.4280808673,29.4280808673
2020-01-31,224.43,125.401471932,31.5183088307,44.5365132603,49.9015982534,69.7776802773,229.351541063,506.502055286,44.2606848694,289.011582257,126.562009001,139.844641373,108.733120986,47.850814003,146.131172525,28.8125915942,28.8125915942
2020-02-03,223.47,126.358373463,31.652715265,44.7072966516,50.2262546523,70.4528574013,230.56703188,509.124129072,44.3870051555,290.920418499,127.663226142,140.776625182,110.278674914,48.7137431677,147.323373683,29.014549012,29.014549012
2020-02-04,225.08,128.177433799,32.2767451382,44.8401281781,51.5821725536,71.737569429,233.393530367,514.080136667,45.7473774676,293.134274966,128.49157532,141.830990705,111.522894429,49.3261445104,148.352127907,29.2934425888,29.2934425888
2020-02-05,228.65,130.356516494,33.3231952334,45.8363646273,52.5083981622,73.9412725422,235.670163961,521.994381354,46.9231278231,290.034875912,130.197000096,144.77756578,113.42810556,50.5045531546,158.956949494,29.8800808022,29.8800808022
2020-02-06,229.61,130.375465039,33.2847933951,46.0071480186,52.5274955974,74.0538020629,233.277769337,532.742002476,46.4761483491,290.772828068,129.855915141,143.89265186,113.194814401,50.272582949,156.928284621,29.8416127226,29.8416127226
2020-02-07,227.38,129.958597045,33.2271906376,45.8729045687,52.5465930326,73.7912331813,229.592709876,533.769701725,45.9708672046,290.73347062,128.462339466,144.363350754,113.418385095,50.356092223,156.457172874,29.7358255038,29.7358255038
2020-02-10,227.11,130.498630582,33.3039943143,45.8057828438,52.8521519963,73.5943065201,228.975317715,538.917802638,45.4461521699,291.796121724,128.871641413,144.843463626,114.283506476,50.4117650724,157.053273452,29.8223786828,29.8223786828
2020-02-11,227.33,130.74496167,33.380797991,46.0167368364,53.2627468537,74.1663315835,228.107109989,547.888560572,46.3206772277,289.395317378,129.251707506,145.718963568,114.847293443,50.8571478671,157.812820964,29.9281659016,29.9281659016
