,AIC_AR,AIC_RW,AIC_PAR,alpha,beta,rho,sigma_M,sigma_R,R_sq
LANC-PNW,,,,,,,,,
LANC-NWBI,-2160.266985453007,-2145.6065517222414,-2150.2426157768787,2.1308883091856883,0.07425925128309796,0.9363388030890785,0.07294121834318802,0.03911983741792627,0.7821767193946291
LANC-NJR,,,,,,,,,
LANC-GFF,,,,,,,,,
LANC-KOP,,,,,,,,,
LANC-JNPR,,,,,,,,,
LANC-HA,,,,,,,,,
LANC-CVI,,,,,,,,,
LANC-ISBC,,,,,,,,,
LANC-NXGN,,,,,,,,,
LANC-ASTE,1785.3711851366095,1788.1491838410857,1788.0742854539853,6.926394809060657,0.5650324343012025,0.971300037103124,0.5180835953674998,0.2764623342830649,0.7808416727953322
LANC-NYT,-57.51817492203463,-56.03757385288361,-54.9632826142647,0.09219830999337031,0.15325056221663574,0.9948753773845355,0.23413029570267033,-0.01693454866541834,0.994808922987817
LANC-UNM,,,,,,,,,
LANC-ABG,,,,,,,,,
LANC-SPWR,,,,,,,,,
LANC-SYNA,2297.253429461901,2311.290268276523,2314.1047583070604,25.969227187195557,0.37760021341925676,0.9898276001912077,0.6531320123249913,0.3942532995632931,0.7339331845172417
LANC-GIC,,,,,,,,,
LANC-MDC,,,,,,,,,
LANC-AMKR,,,,,,,,,
LANC-SKYW,,,,,,,,,
LANC-NSIT,1063.992599352884,1071.228995815225,1069.0652891866332,0.09156664665503733,0.298408054799583,0.9793075979119563,0.4010689391487847,0.08811855055208287,0.954405459593624
LANC-RUSHA,,,,,,,,,
LANC-BECN,,,,,,,,,
LANC-FHN,,,,,,,,,
LANC-PFS,,,,,,,,,
LANC-ENR,2600.36602638734,2603.3751329191045,2605.1592256447616,22.764302990308497,0.6503553936400605,0.989506517036271,0.844633675164627,0.2532026183844847,0.9179403898034307
LANC-RLI,,,,,,,,,
LANC-ACM,,,,,,,,,
LANC-DBD,,,,,,,,,
LANC-SNV,1353.7685248637135,1356.7201499022735,1358.2779247095916,8.954895534806772,0.21240757106192862,0.9827408469358209,0.4187843210017355,0.2224152735133343,0.7814756661469856
LANC-UFCS,,,,,,,,,
LANC-SBGI,,,,,,,,,
LANC-WW,,,,,,,,,
LANC-SLM,,,,,,,,,
LANC-GBX,,,,,,,,,
LANC-KNX,2117.467047276489,2125.6483273414233,2019.0652070707908,11.183164734597225,0.21411984975565215,0.5235053119456982,0.6004109802563572,0.2710279543298908,0.8656367271886565
LANC-CLB,,,,,,,,,
LANC-EQT,,,,,,,,,
LANC-ALE,,,,,,,,,
LANC-APOG,,,,,,,,,
LANC-WABC,,,,,,,,,
LANC-QRTEA,,,,,,,,,
LANC-SSB,,,,,,,,,
LANC-UHAL,,,,,,,,,
LANC-HRI,,,,,,,,,
