,m1,m2,n,BIC,num_fit,$\delta_0$,$\delta_1$,$\delta_2$,"$\phi_{1,0}$","$\phi_{1,1}$","$\phi_{1,2}$",$\sigma_1^2$,"$\phi_{2,0}$","$\phi_{2,1}$","$\phi_{2,2}$",$\sigma_2^2$
FANG-SITC,1,1,2,-2451.7441044449533,6,2.744900743470773,1.3654058381739271,-3.9920166541595594,0.005773191890241003,0.9783248312576338,0.0,0.009995239641501012,0.00917143013713756,1.0024036925042747,0.0,0.0016059316858073771
FANG-SWX,,,,,,,,,,,,,,,,
FANG-HNI,1,1,2,-2334.1013052398134,5,-0.336090604895204,-1.7067562184589717,-0.15351507657300112,-0.01191718745359878,0.9169310456926447,0.0,0.018682937107435175,0.006059964021501997,1.0006872435286078,0.0,0.004730913579014997
FANG-NNI,1,1,1,-2392.030007127897,4,-4.278536539631238,11.661360758068314,0.0,0.001806171598347965,0.991524276303456,0.0,0.00896756896144101,0.005461376832047254,1.0440988628277925,0.0,0.013908121045482
FANG-CSGS,1,2,2,-2612.028709501262,7,3.3249148271373596,7.4822379107852575,-7.843449588914771,0.0021912559669390154,0.991452802126892,0.0,0.006607051801751737,-0.04884233283665962,1.2839029079382769,-0.262381216769505,0.050808075478767055
FANG-KFY,2,2,2,-2239.9021359214003,3,0.5680973164656502,3.766512046073858,-1.7857044154834663,-0.0042989962972010375,0.9618684142480696,0.01217098704005437,0.010299824923872058,0.016510610132913668,0.9742452867633897,0.057961275824943925,0.001172923538671095
FANG-NYT,1,1,2,-1892.217685700447,5,-1.3826439582284067,-0.4700801920798989,1.0364507919059234,-0.010249965769276689,0.9544868788158786,0.0,0.0241731899740941,0.005038833151117368,1.0020112638790601,0.0,0.00637488703210792
FANG-WIRE,1,2,1,-2600.1168058368403,3,2.020881757986477,0.9214907058609295,0.0,0.0010341184493312197,0.9928453821877211,0.0,0.007274420431415986,0.029774294944264708,1.0487354739352241,-0.029435386858352786,0.004331186281750695
FANG-GBCI,1,2,1,-2724.269936412319,3,3.7330811008423646,2.1111588571325326,0.0,-0.0026428310689263013,0.9864314750924988,0.0,0.008452117850884027,0.23308945058526898,1.0807903435190394,0.15685323297895515,0.0027268894413958866
FANG-HI,2,1,2,-1959.5355941037683,4,-1.7632139157331397,-3.16321805206828,4.2644263311369945,-0.0006042767796185233,0.6141614235543891,0.2948859542945179,0.02369943279463906,-0.000326497917207777,1.0048757800255215,0.0,0.006979916815482215
FANG-AEO,2,1,1,-2329.9582454906013,6,1.0165131998000072,3.582114784773781,0.0,0.007091254043580297,0.9462495643417128,0.04140722265333352,0.010304872171580527,-0.08117244443399962,1.2286569118602142,0.0,0.04425164150029233
FANG-THG,1,2,1,-2682.8336779707397,4,-9.744842617477312,24.0830805473099,0.0,0.00222415581359401,0.9909801061687725,0.0,0.006404664418823488,-0.003498777930095391,0.9513518405329364,0.05088042950515259,0.008259855861241117
FANG-X,1,2,2,-3058.347603918553,7,1.56000300175876,18.813641145967445,-6.192957704877585,0.005003623912390504,0.9939264512145626,0.0,0.005664260624384676,-0.19029448525312515,3.0395351585525963,0.03045398226962015,0.0016005034008587092
FANG-LZB,2,2,1,-2299.041732077581,3,-7.3054000758007716,14.834473073495012,0.0,-0.00047277182137692164,1.0015792569818274,-0.011140165156760418,0.00961794706334833,0.003175196016068977,1.0108335424650061,-0.00923731276203199,0.009927720971883151
FANG-WTM,1,1,1,-2279.8772269447127,3,2.7101431818010844,-0.9195432039872067,0.0,-0.002959548416352739,0.9886196574650312,0.0,0.008952134853962887,0.029222135250313436,1.0101895801039984,0.0,0.005535338217040864
FANG-MTZ,1,2,2,-2471.3266487503993,3,4.613035640796013,1.4920667342569973,-4.318879271161358,0.0003043808132007775,0.9833145935446568,0.0,0.010349526994776488,0.03737606629843215,0.8775262417553904,0.13661034278987927,0.0009710939800573142
FANG-SANM,,,,,,,,,,,,,,,,
FANG-KSS,2,2,1,-2700.3948448358315,4,3.2350383020444546,6.185386245212578,0.0,0.002737615147157202,0.9572540487433088,0.03552085607819322,0.009188815770019702,-0.054532107130842486,1.1025258885573495,-0.04032613274875452,0.003003211647391004
FANG-HOPE,1,2,1,-2278.2663411502167,7,1.455465552140384,1.8605674154472769,0.0,0.0009934136845253507,0.9871101421673603,0.0,0.009285782539895907,-0.006097827180884974,1.3054405165800205,-0.25235007936465337,0.045052844913195514
FANG-BLMN,1,1,1,-2856.431740314857,6,0.5596877866468561,5.421957718892811,0.0,-0.002122351776126804,0.9927069461688219,0.0,0.006288932001817709,0.1251473137665857,1.0418877779385631,0.0,0.004330473429397079
FANG-FCF,,,,,,,,,,,,,,,,
FANG-CRI,1,2,2,-2247.0219426830904,6,-0.9440187355102787,1.1275104120383077,-1.8176893914934187,-0.017676353808753615,0.9248917631555527,0.0,0.020029517535039686,0.006970116259395545,0.9985436035034922,0.0063153190946678706,0.004705607505453701
FANG-PBI,,,,,,,,,,,,,,,,
FANG-SJI,2,1,1,-2582.7838767680405,6,3.902425097878093,-3.2186773017868218,0.0,0.004817376400456999,0.9501183316527744,0.03467828461948841,0.009042840468767665,0.010526802025863202,1.0022807933532119,0.0,0.001154955554385383
FANG-ATO,,,,,,,,,,,,,,,,
FANG-NRG,1,1,1,-2763.2010271013787,7,5.841276120802841,-4.081809918301217,0.0,0.00435040388210578,0.9896563325695841,0.0,0.008045773436487585,0.012139973505195245,1.00212189673146,0.0,0.0007484775382863771
FANG-ZGNX,2,2,1,-2904.6966693808877,5,-10.761458931553511,40.555116239569465,0.0,0.0005607594044628739,0.9355669635387756,0.057642920310172485,0.005998671941172662,0.02664550322934586,1.238349409032713,-0.10522389630059026,0.013662092284190248
FANG-ISBC,2,2,2,-3065.8678095281493,3,8.965340006206583,21.297797815870783,-24.08629531165525,-0.00025574180186601486,0.9027291225880028,0.08398010575102433,0.007226280110616553,-0.3393791227495164,1.8532230168361394,-1.0568686471324753,2.657886039517729e-29
FANG-UNFI,2,1,1,-2339.9760678907323,5,2.5391165310496633,-2.287735003443607,0.0,0.0036311336097516744,0.9350485810555256,0.051199398420223474,0.010208290503690853,0.008335731166322802,1.001929960004101,0.0,0.0015908733829483946
FANG-AEL,2,2,1,-2596.6122588848543,1,2.548436679405442,0.35595983042481044,0.0,0.0015568603262748528,0.9095328416352686,0.08302931463593666,0.00628308785336071,-0.031467148970393516,2.0190655487138756,-1.149761966461032,0.026473929361170667
FANG-SBRA,1,1,2,-2213.4375701715253,4,2.3452432371194587,0.8031409498451318,-2.513189228460779,0.0026975634774328294,0.9759302307656631,0.0,0.010768723659750677,0.015582209485059118,1.0151350102703647,0.0,0.0019122550283477975
FANG-FLO,2,1,2,-2517.975566456044,5,-0.1222878355800488,1.6615610856544714,-4.101707931185045,0.006840820875772924,0.9136247474934791,-0.01661578943681974,0.019312917165288,0.005595855100225186,1.0002617710986546,0.0,0.004747138136349752
FANG-AZZ,,,,,,,,,,,,,,,,
FANG-ABM,2,1,2,-2213.99537189831,2,-0.7443238250423277,1.1430330109425026,-2.657472280012213,-0.03000129557195616,0.8887085296265766,-0.003617836423693177,0.018509460979461944,0.006049448714608111,1.0003227452685965,0.0,0.005724787087327447
FANG-WMK,1,2,2,-2393.9648174538875,7,0.4049812056582366,-1.3005529998141696,3.3776647021841875,-0.00905091104753967,0.9900264948590722,0.0,0.007261748550413811,0.07441442584709884,0.9862321208446261,0.047899424520593925,0.007132948245778764
FANG-MOS,2,2,1,-2078.799059629379,5,0.02279428723869361,3.447976646576164,0.0,0.009516906401731282,0.956397430166767,0.029570975617666306,0.009828340312286217,-0.05465340809355521,1.2392743473827732,-0.17903436608374435,0.03147158386731661
FANG-WWD,2,1,1,-1987.3735261627935,3,-1.905482259939832,0.6965131997719483,0.0,-0.012665484303517983,0.6354795442157375,0.25594376433766897,0.045215168423739245,0.00481676197321068,1.0000024340021427,0.0,0.007228152524760516
FANG-PLXS,2,1,1,-1869.7979556005623,1,0.35437191653555505,2.084718620063518,0.0,-0.002684271013264364,0.9207523168868406,0.06070760870817793,0.009061902785819084,0.014994192987579815,1.0030406251374178,0.0,0.015059538381780788
FANG-FLS,2,1,1,-2860.8340007149745,7,6.373725106349744,-4.376245839562643,0.0,0.0014811215750703544,0.915209999298952,0.07424118434454385,0.006398369310692586,0.044089793311819614,1.0229834287270794,0.0,0.0006444384230668475
FANG-BXS,2,2,2,-2169.4760252358506,3,-2.825369936312152,6.209983472571626,5.620096343563359,0.002863492130738877,0.9723141793826073,0.012289121122833535,0.00942038705962195,-0.0033712188635707657,0.9759776074601785,0.041343591615210507,0.009578159624665518
FANG-GRPN,2,1,2,-2502.745344159735,4,4.53402651945748,4.649984325439144,-8.061263567022287,0.0036906689260634406,0.970342725563448,0.003067306648112833,0.010042233577369275,0.03511705305185164,1.0128996094282665,0.0,0.0019453837928699732
FANG-PWR,1,2,1,-2846.6730548958985,3,0.7070996432818701,3.3038141426628314,0.0,0.0007504690632702763,0.9933393979552918,0.0,0.004694647967705989,0.03421606947696709,0.9772034989540934,0.07748887068614962,0.02034438533760401
FANG-AWI,2,2,2,-2893.3221601847745,2,1.3225105837562925,10.250755016986064,-0.4477168023580395,0.0037886403278367675,0.9423388499134262,0.051458571890364624,0.0069505310313065964,0.10572262705639085,3.2835698127082225,-2.8376290453420197,0.0016344661652955587
FANG-WBS,2,2,2,-2367.9275104251183,4,-2.314926598244834,18.729606992770726,-10.741028213866645,0.001429951989046857,0.8152133726960074,0.1772993336741422,0.00630205744080074,-0.0018758313356163347,1.1730849282818419,-0.15611376031506197,0.008843664774977222
FANG-PCH,1,1,2,-2538.684954076803,2,-8.778779513906219,30.87250569774336,24.092192593362117,0.001975157671816284,0.9890720594309199,0.0,0.011237168788354374,0.0034342695560056376,1.4419189516714834,0.0,0.010110033744879437
FANG-NWE,,,,,,,,,,,,,,,,
FANG-UGI,2,2,1,-2840.9372441493247,3,0.5685997831933927,47.30482304792711,0.0,0.0012411215496303495,0.9766385673848461,0.010262751709404938,0.007944266120609339,-0.17121652964004158,2.1001843073328796,0.6770205712085368,3.087076227550019e-05
FANG-BC,1,1,2,-1891.632625089835,1,0.4045238761488551,1.6328730722194367,-2.017223168465872,-0.008331138948181473,0.9710579208420651,0.0,0.013781059998330762,0.010888692530054565,1.0062245979715312,0.0,0.0032883765471935123
FANG-SAH,2,2,1,-2246.8905055092077,3,-27.497914977476995,110.20624856897474,0.0,0.0017766619131009964,0.9836080935104263,0.0025373671080899385,0.01655305392703112,0.009569368838479052,1.135941762245287,0.008095427195487392,0.017406408774011832
FANG-RPT,1,2,1,-2203.2896028727723,3,2.458033430527519,0.10385714382873848,0.0,-0.0013061136421502137,0.9885472185329337,0.0,0.011064846598155471,0.02190847854617937,0.9217344283381124,0.08220483407873047,0.01028847874412865
NTGR-MSA,,,,,,,,,,,,,,,,
NTGR-VG,,,,,,,,,,,,,,,,
NTGR-MDRX,,,,,,,,,,,,,,,,
NTGR-BANR,,,,,,,,,,,,,,,,
NTGR-MAC,,,,,,,,,,,,,,,,
NTGR-ASH,,,,,,,,,,,,,,,,
NTGR-CRS,,,,,,,,,,,,,,,,
NTGR-SAFT,,,,,,,,,,,,,,,,
NTGR-SKT,,,,,,,,,,,,,,,,
NTGR-SRCL,2,1,2,-5621.284024167672,1,5.934594797011273,-17.63759053891963,18.700719074792914,-0.0003044540802816377,0.9171062546724436,0.06713173372168058,0.00023153318888822843,0.18202878425829538,1.5536132438544024,0.0,2.407412430484045e-35
NTGR-VRTS,,,,,,,,,,,,,,,,
NTGR-GPI,2,2,2,-5702.453602466089,1,5.743567534246776,-23.967264696217054,22.607230941068096,-0.0003747837841052513,0.8985534499438543,0.0871666200466592,0.00021208438694775593,0.20426879131202572,3.686800995087692,-2.1550426917443746,5.3855822246963615e-33
NTGR-BHE,,,,,,,,,,,,,,,,
NTGR-AROC,1,2,1,-4861.701509563882,1,0.5307556013957294,8.802151301939784,0.0,5.134987323412212e-05,0.964987699470388,0.0,0.0004347410126722187,-7.081214651693515e-05,1.0447461693255864,-0.029053379203375584,1.4616138959255998e-05
NTGR-HBI,,,,,,,,,,,,,,,,
NTGR-NWL,,,,,,,,,,,,,,,,
NTGR-NFG,,,,,,,,,,,,,,,,
NTGR-PFS,,,,,,,,,,,,,,,,
NTGR-AIN,,,,,,,,,,,,,,,,
NTGR-HR,,,,,,,,,,,,,,,,
NTGR-BRO,,,,,,,,,,,,,,,,
NTGR-CFR,,,,,,,,,,,,,,,,
NTGR-HLF,,,,,,,,,,,,,,,,
NTGR-AN,,,,,,,,,,,,,,,,
NTGR-MATX,,,,,,,,,,,,,,,,
NTGR-STFC,,,,,,,,,,,,,,,,
NTGR-PII,,,,,,,,,,,,,,,,
NTGR-SWBI,,,,,,,,,,,,,,,,
NTGR-LPLA,,,,,,,,,,,,,,,,
NTGR-UVV,,,,,,,,,,,,,,,,
NTGR-HMN,,,,,,,,,,,,,,,,
NTGR-MOH,,,,,,,,,,,,,,,,
NTGR-SHOO,1,2,1,-5248.180764210797,2,3.31478942600572,-6.838862798404737,0.0,0.0006696546392061112,0.9719582401185655,0.0,0.0001878561960492826,-0.009799406145003312,0.7723597464981715,0.23646959202329754,0.003478744928768849
NTGR-HSC,,,,,,,,,,,,,,,,
NTGR-CLR,,,,,,,,,,,,,,,,
NTGR-HRI,,,,,,,,,,,,,,,,
NTGR-TG,,,,,,,,,,,,,,,,
NTGR-HOG,2,2,2,-5222.64249186524,1,14.948731133024905,-71.5054628982432,17.184250627551826,-2.3904639749208843e-06,0.920775219748105,0.054138851089408746,0.00033808045935551265,0.3450593811178777,-1.2869255322278832,0.9285746649026692,1.4157131947502022e-07
NTGR-EBIX,,,,,,,,,,,,,,,,
NTGR-PAG,,,,,,,,,,,,,,,,
NTGR-ACCO,,,,,,,,,,,,,,,,
NTGR-CVBF,,,,,,,,,,,,,,,,
NTGR-ESE,,,,,,,,,,,,,,,,
NTGR-AVA,,,,,,,,,,,,,,,,
NTGR-SYNA,,,,,,,,,,,,,,,,
NTGR-PVH,,,,,,,,,,,,,,,,
NTGR-EPR,,,,,,,,,,,,,,,,
NTGR-SITC,,,,,,,,,,,,,,,,
NTGR-SWX,,,,,,,,,,,,,,,,
NTGR-HNI,,,,,,,,,,,,,,,,
NTGR-NNI,,,,,,,,,,,,,,,,
NTGR-CSGS,1,1,2,-5457.274895727255,1,17.940419991593103,-74.89946301686825,12.459616330144094,0.00013087640513877218,0.9827844006331291,0.0,0.000284884070065771,-0.7299920484772571,3.6696781160496528,0.0,2.508677826960111e-29
NTGR-KFY,,,,,,,,,,,,,,,,
NTGR-NYT,,,,,,,,,,,,,,,,
NTGR-WIRE,,,,,,,,,,,,,,,,
NTGR-GBCI,,,,,,,,,,,,,,,,
NTGR-HI,,,,,,,,,,,,,,,,
NTGR-AEO,,,,,,,,,,,,,,,,
NTGR-THG,,,,,,,,,,,,,,,,
NTGR-X,,,,,,,,,,,,,,,,
NTGR-LZB,,,,,,,,,,,,,,,,
NTGR-WTM,,,,,,,,,,,,,,,,
NTGR-MTZ,,,,,,,,,,,,,,,,
NTGR-SANM,,,,,,,,,,,,,,,,
NTGR-KSS,,,,,,,,,,,,,,,,
NTGR-HOPE,,,,,,,,,,,,,,,,
NTGR-BLMN,2,1,1,-5412.884895900011,1,6.301713925458558,-10.179623284167821,0.0,-0.0003732417532143128,0.924731413874964,0.05430987061261838,0.00026730058474167104,0.462765520629414,4.607955968623308,0.0,2.281077683298923e-11
NTGR-FCF,,,,,,,,,,,,,,,,
NTGR-CRI,,,,,,,,,,,,,,,,
NTGR-PBI,,,,,,,,,,,,,,,,
NTGR-SJI,,,,,,,,,,,,,,,,
NTGR-ATO,,,,,,,,,,,,,,,,
NTGR-NRG,,,,,,,,,,,,,,,,
NTGR-ZGNX,,,,,,,,,,,,,,,,
NTGR-ISBC,,,,,,,,,,,,,,,,
NTGR-UNFI,,,,,,,,,,,,,,,,
NTGR-AEL,,,,,,,,,,,,,,,,
NTGR-SBRA,,,,,,,,,,,,,,,,
NTGR-FLO,,,,,,,,,,,,,,,,
NTGR-AZZ,,,,,,,,,,,,,,,,
NTGR-ABM,,,,,,,,,,,,,,,,
NTGR-WMK,,,,,,,,,,,,,,,,
NTGR-MOS,,,,,,,,,,,,,,,,
NTGR-WWD,,,,,,,,,,,,,,,,
NTGR-PLXS,,,,,,,,,,,,,,,,
NTGR-FLS,,,,,,,,,,,,,,,,
NTGR-BXS,,,,,,,,,,,,,,,,
NTGR-GRPN,,,,,,,,,,,,,,,,
NTGR-PWR,,,,,,,,,,,,,,,,
NTGR-AWI,,,,,,,,,,,,,,,,
NTGR-WBS,,,,,,,,,,,,,,,,
NTGR-PCH,,,,,,,,,,,,,,,,
NTGR-NWE,,,,,,,,,,,,,,,,
NTGR-UGI,,,,,,,,,,,,,,,,
NTGR-BC,,,,,,,,,,,,,,,,
NTGR-SAH,,,,,,,,,,,,,,,,
NTGR-RPT,,,,,,,,,,,,,,,,
MSA-VG,2,1,2,-4239.464740448763,2,0.32035642814539267,19.01186076456263,-19.976829319141967,-0.000546818070566348,1.009725050952575,-0.0683947463032446,0.0007397048553144372,0.001185773036188973,1.001178834619438,0.0,0.00011571920885115155
MSA-MDRX,1,2,1,-4400.679799958523,1,0.14940460758711663,7.161090398960309,0.0,-0.0006514033501444005,0.9630315052779529,0.0,0.0005906283422061031,0.0013973227050504463,1.0774064882317713,-0.07443700855172608,7.344954071070769e-05
MSA-BANR,1,1,2,-4384.6882881918345,3,0.6742419663154956,19.848601915722014,-17.629865569825714,-0.00042043077298084,0.9632343792782929,0.0,0.000607765772654598,0.0013846312906795675,1.003038007602628,0.0,6.76571214116822e-05
MSA-MAC,1,2,1,-4314.100659760079,1,0.654914941781154,1.1810159252287695,0.0,-0.0006199048803189895,0.9575638382237642,0.0,0.0006339824846330974,0.0019369295436586524,1.0356195179480956,-0.03278487040513056,7.801263374941101e-05
MSA-ASH,2,2,2,-4379.237867542823,4,0.35866646718808615,26.661087942937154,-22.7365272879834,-0.00034779113108940676,1.0186713412835573,-0.05974575235161339,0.0006124857976648232,0.0010256336113535084,0.9575634526216916,0.04665068814266249,7.651969007984699e-05
MSA-CRS,1,2,2,-5113.057814098832,1,19.079881309072857,97.34845716545472,-180.02749096954273,0.00019166979262453943,0.9597373101053828,0.0,0.000396168500403952,0.30071136314053604,1.9001630048769584,-2.3561621550453538,9.876647560136837e-08
MSA-SAFT,1,1,2,-4329.995342249537,3,0.09412695044216121,18.270301415776455,-15.839146920234375,-0.0006377529752121815,0.9558877495567673,0.0,0.0006778746390498923,0.0011146502863893027,1.0056046000544692,0.0,9.615087808109401e-05
MSA-SKT,1,2,2,-4309.37624232929,3,-0.4847505195698903,15.282356767965341,-14.03085996564081,-0.0005888414875785584,0.9355368279453068,0.0,0.000830016771521821,0.000675445689756809,1.0150398075309575,-0.01102078865631384,0.00014878985661235259
MSA-SRCL,2,2,2,-4327.027732715482,3,0.4069825956815557,24.016544991233218,-21.902947097252493,-0.0003811571630313816,1.0153140375969123,-0.058590291433205266,0.0006486676640459196,0.0010532806900627866,0.9670569837458878,0.03541394046417423,8.532266611214866e-05
MSA-VRTS,,,,,,,,,,,,,,,,
MSA-GPI,2,1,2,-4340.533743351578,2,0.0772997036505277,18.729103146992017,-16.420717386304922,-0.0004578005212204088,0.9984935136215825,-0.04466086539164493,0.0006647626178200571,0.0008742422090813468,1.0043318203143086,0.0,9.570842002015743e-05
MSA-BHE,1,2,1,-4503.09618778021,1,0.17197703132321301,8.59188559875741,0.0,-0.0003200726381335389,0.9532787383604059,0.0,0.0004996142666187395,0.0005528096770257007,1.105028862545721,-0.0981630495563266,6.71545321708496e-05
MSA-AROC,1,2,2,-4384.292216098637,3,0.5390762754151399,7.4439770269910195,-4.70387185174344,-0.0005792349225206598,0.9174789903197129,0.0,0.0005787344265545996,0.0018498802050665288,1.0615627003040888,-0.051558001524053765,7.197388881868175e-05
MSA-HBI,2,1,1,-4337.247605311171,3,0.41908718703454984,4.054512126168536,0.0,-0.000605857820206333,0.9725192258386954,-0.01326662826462055,0.0006156620420691982,0.0016162244383798132,1.0129245078807565,0.0,7.858065982416567e-05
MSA-NWL,2,2,1,-4341.559369030582,2,0.8429626369924426,1.8870911866085907,0.0,-0.00036246939250053536,0.9729115022493069,-0.0112876611372279,0.0005977429259825965,0.0016330246952745812,1.0228790937560355,-0.020049295686561663,7.239643985508462e-05
MSA-NFG,,,,,,,,,,,,,,,,
MSA-PFS,1,1,2,-4309.787872650148,2,0.4484708742716109,18.03713761950937,-16.959955461575994,-0.0005066526099157689,0.9573503343011677,0.0,0.0006613771457421234,0.0012490674220395426,1.003135560792542,0.0,8.892745012736901e-05
MSA-AIN,,,,,,,,,,,,,,,,
MSA-HR,,,,,,,,,,,,,,,,
MSA-BRO,2,2,1,-4461.099003899476,1,0.85596327176593,3.577763687811591,0.0,-0.00029015346603214476,0.9645849487597253,0.004947562412379369,0.0005367908053914379,0.0012609516978832527,1.0230632114047182,-0.022038264595604318,5.3729485654372864e-05
MSA-CFR,2,2,2,-5330.273951081209,1,14.766354964891182,-114.42034941761229,40.12795956730503,-5.432964354897907e-05,0.9775585970715657,-0.019544682268842095,0.0003479417484934308,0.27015844738114225,-1.322520086289387,0.7216300744477167,4.396684669996583e-27
MSA-HLF,,,,,,,,,,,,,,,,
MSA-AN,1,2,2,-4335.553541747107,2,-0.42144153465256023,18.411178380363125,-16.484088465387078,-0.0005738084953088255,0.9440976186381449,0.0,0.0007861370130724342,0.0006455048076337729,1.0063450338151618,-0.0029538295066586784,0.00013197395704414068
MSA-MATX,,,,,,,,,,,,,,,,
MSA-STFC,1,2,2,-4478.966677363468,4,0.6590227115824614,3.2301481862884383,0.9728109950120545,-0.0010290179379245767,0.9607380286461326,0.0,0.0005375968834775976,0.0031370406008724636,1.126280059417141,-0.10001238624119324,5.1260388004182176e-05
MSA-PII,2,2,1,-5040.2462260617285,4,2.8524725440555603,5.020953062538787,0.0,-0.000623989500202665,0.9607421815861272,0.024033174508341304,0.0002905355209122808,0.013610153824125665,1.9382871663223549,-1.5365768505187312,0.0009788221472932861
MSA-SWBI,1,1,2,-4265.258827609872,2,0.09330749301195712,16.512350378736283,-16.02113802496618,-0.0006311494478754929,0.947874960907976,0.0,0.0007422826005521652,0.0011086995102597822,1.0025367973064419,0.0,0.00011611072840079377
MSA-LPLA,2,2,1,-4415.514460444463,2,-0.9822713717034481,7.145898988568512,0.0,-0.0004933873375528996,0.8853307713330718,0.04606150696299416,0.0007716557261506406,0.00026031241465550563,1.0572241982498838,-0.05451323505440975,0.00014280219075110884
